Scheduler,Average Turn Around Time
First Come First Serve
Test Data 1, 414.44444444444446
Test Data 2,379.77777777777777
Test Data 3,634.3157894736842
Test Data 4,564.4444444444445

Shortest Job First
Test Data 1,414.44444444444446
Test Data 2,379.77777777777777
Test Data 3,634.3157894736842
Test Data 4,564.4444444444445

Round Robbin Time Quantum = 25
Test Data 1,2805.4444444444443
Test Data 2,2493.8888888888887
Test Data 3,10071.894736842105
Test Data 4,11666.592592592593

Round Robbin Time Quantum = 50
Test Data 1,2572.1111111111113
Test Data 2,2325.1111111111113
Test Data 3,9394.947368421053
Test Data 4,10763.74074074074

Lottery Scheduler
Test Data 1,2223.1111111111113
Test Data 2,2408.222222222222
Test Data 3,7858.894736842105
Test Data 4,7929.333333333333
