CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,1,931,0,931
931,2,991,0,1922
1922,3,683,0,2605
2605,4,404,0,3009
3009,5,929,0,3938
3938,6,760,0,4698
4698,7,772,0,5470
5470,8,210,0,5680
5680,9,845,0,6525
6525,10,573,0,7098
7098,11,225,0,7323
7323,12,874,0,8197
8197,13,382,0,8579
8579,14,524,0,9103
9103,15,198,0,9301
9301,16,867,0,10168
10168,17,897,0,11065
11065,18,30,0,11095
11095,19,94,0,11189
11189,20,423,0,11612
11612,21,336,0,11948
11948,22,799,0,12747
12747,23,596,0,13343
13343,24,680,0,14023
14023,25,71,0,14094
14094,26,754,0,14848
14848,27,392,0,15240
