CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,2,488,438,0
53,6,130,80,0
106,3,231,181,0
159,1,624,574,0
212,4,337,287,0
265,2,438,388,0
318,8,439,389,0
371,2,388,338,0
424,6,80,30,0
477,8,389,339,0
530,8,339,289,0
583,6,30,0,613
616,4,287,237,0
669,8,289,239,0
722,3,181,131,0
775,3,131,81,0
828,3,81,31,0
881,7,317,267,0
934,9,942,892,0
987,4,237,187,0
1040,4,187,137,0
1093,3,31,0,1124
1127,4,137,87,0
1180,2,338,288,0
1233,9,892,842,0
1286,2,288,238,0
1339,4,87,37,0
1392,9,842,792,0
1445,2,238,188,0
1498,9,792,742,0
1551,8,239,189,0
1604,1,574,524,0
1657,7,267,217,0
1710,9,742,692,0
1763,7,217,167,0
1816,9,692,642,0
1869,4,37,0,1906
1909,2,188,138,0
1962,9,642,592,0
2015,7,167,117,0
2068,8,189,139,0
2121,8,139,89,0
2174,7,117,67,0
2227,1,524,474,0
2280,2,138,88,0
2333,2,88,38,0
2386,8,89,39,0
2439,7,67,17,0
2492,9,592,542,0
2545,9,542,492,0
2598,2,38,0,2636
2639,7,17,0,2656
2659,9,492,442,0
2712,8,39,0,2751
2754,1,474,424,0
2807,9,442,392,0
2860,1,424,374,0
2913,9,392,342,0
2966,9,342,292,0
3019,5,222,172,0
3072,9,292,242,0
3125,9,242,192,0
3178,1,374,324,0
3231,9,192,142,0
3284,5,172,122,0
3337,9,142,92,0
3390,9,92,42,0
3443,5,122,72,0
3496,5,72,22,0
3549,9,42,0,3591
3594,1,324,274,0
3647,1,274,224,0
3700,5,22,0,3722
3725,1,224,174,0
3778,1,174,124,0
3831,1,124,74,0
3884,1,74,24,0
3937,1,24,0,3961
