CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,1,596,571,0,
28,2,222,197,0,
56,3,123,98,0,
84,4,209,184,0,
112,5,609,584,0,
140,6,814,789,0,
168,7,204,179,0,
196,8,308,283,0,
224,9,333,308,0,
252,1,571,546,0,
280,2,197,172,0,
308,3,98,73,0,
336,4,184,159,0,
364,5,584,559,0,
392,6,789,764,0,
420,7,179,154,0,
448,8,283,258,0,
476,9,308,283,0,
504,1,546,521,0,
532,2,172,147,0,
560,3,73,48,0,
588,4,159,134,0,
616,5,559,534,0,
644,6,764,739,0,
672,7,154,129,0,
700,8,258,233,0,
728,9,283,258,0,
756,1,521,496,0,
784,2,147,122,0,
812,3,48,23,0,
840,4,134,109,0,
868,5,534,509,0,
896,6,739,714,0,
924,7,129,104,0,
952,8,233,208,0,
980,9,258,233,0,
1008,1,496,471,0,
1036,2,122,97,0,
1064,3,23,0,1087,
1090,4,109,84,0,
1118,5,509,484,0,
1146,6,714,689,0,
1174,7,104,79,0,
1202,8,208,183,0,
1230,9,233,208,0,
1258,1,471,446,0,
1286,2,97,72,0,
1314,4,84,59,0,
1342,5,484,459,0,
1370,6,689,664,0,
1398,7,79,54,0,
1426,8,183,158,0,
1454,9,208,183,0,
1482,1,446,421,0,
1510,2,72,47,0,
1538,4,59,34,0,
1566,5,459,434,0,
1594,6,664,639,0,
1622,7,54,29,0,
1650,8,158,133,0,
1678,9,183,158,0,
1706,1,421,396,0,
1734,2,47,22,0,
1762,4,34,9,0,
1790,5,434,409,0,
1818,6,639,614,0,
1846,7,29,4,0,
1874,8,133,108,0,
1902,9,158,133,0,
1930,1,396,371,0,
1958,2,22,0,1980,
1983,4,9,0,1992,
1995,5,409,384,0,
2023,6,614,589,0,
2051,7,4,0,2055,
2058,8,108,83,0,
2086,9,133,108,0,
2114,1,371,346,0,
2142,5,384,359,0,
2170,6,589,564,0,
2198,8,83,58,0,
2226,9,108,83,0,
2254,1,346,321,0,
2282,5,359,334,0,
2310,6,564,539,0,
2338,8,58,33,0,
2366,9,83,58,0,
2394,1,321,296,0,
2422,5,334,309,0,
2450,6,539,514,0,
2478,8,33,8,0,
2506,9,58,33,0,
2534,1,296,271,0,
2562,5,309,284,0,
2590,6,514,489,0,
2618,8,8,0,2626,
2629,9,33,8,0,
2657,1,271,246,0,
2685,5,284,259,0,
2713,6,489,464,0,
2741,9,8,0,2749,
2752,1,246,221,0,
2780,5,259,234,0,
2808,6,464,439,0,
2836,1,221,196,0,
2864,5,234,209,0,
2892,6,439,414,0,
2920,1,196,171,0,
2948,5,209,184,0,
2976,6,414,389,0,
3004,1,171,146,0,
3032,5,184,159,0,
3060,6,389,364,0,
3088,1,146,121,0,
3116,5,159,134,0,
3144,6,364,339,0,
3172,1,121,96,0,
3200,5,134,109,0,
3228,6,339,314,0,
3256,1,96,71,0,
3284,5,109,84,0,
3312,6,314,289,0,
3340,1,71,46,0,
3368,5,84,59,0,
3396,6,289,264,0,
3424,1,46,21,0,
3452,5,59,34,0,
3480,6,264,239,0,
3508,1,21,0,3529,
3532,5,34,9,0,
3560,6,239,214,0,
3588,5,9,0,3597,
3600,6,214,189,0,
3628,6,189,164,0,
3656,6,164,139,0,
3684,6,139,114,0,
3712,6,114,89,0,
3740,6,89,64,0,
3768,6,64,39,0,
3796,6,39,14,0,
3824,6,14,0,3838,
