CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,18,30,0,30
30,25,71,0,101
101,19,94,0,195
195,15,198,0,393
393,8,210,0,603
603,11,225,0,828
828,21,336,0,1164
1164,13,382,0,1546
1546,27,392,0,1938
1938,4,404,0,2342
2342,20,423,0,2765
2765,14,524,0,3289
3289,10,573,0,3862
3862,23,596,0,4458
4458,24,680,0,5138
5138,3,683,0,5821
5821,26,754,0,6575
6575,6,760,0,7335
7335,7,772,0,8107
8107,22,799,0,8906
8906,9,845,0,9751
9751,16,867,0,10618
10618,12,874,0,11492
11492,17,897,0,12389
12389,5,929,0,13318
13318,1,931,0,14249
14249,2,991,0,15240
